eyeHandDiff,eyes,afterEffect,subjectN,groups
87.7141630528742,-97.3368833298457,20.7988586491407,5,1
119.164026341596,-113.972495194444,2.66589932812314,5,1
83.3883357254314,-91.5439022603284,-16.0560744855,5,1
60.6861661806398,-57.2685371987725,-11.0385264357823,5,1
22.9459413199871,-34.0863343793135,-11.4444205907646,5,1
20.8371552039059,-38.1074920916201,-14.0007827371011,5,1
78.1323318992636,-76.1026741875266,-8.15390687787251,5,1
110.377683475532,-104.437303000553,-1.88238322464336,5,1
75.3391820730261,-90.499485823986,-7.91644801812698,5,1
60.0613093799871,-64.8727146583123,5.47456241049896,5,1
64.1561183786749,-50.4793028049837,-22.2721512797165,5,1
47.9838434884311,-63.0993497090016,-2.2465763321081,5,1
91.4887956740528,-96.4571735065991,-15.4023952289665,5,1
112.356697467124,-105.149823813295,-16.4396964493662,5,1
74.5237539271499,-88.1119248537208,0.222473238381786,5,1
-11.7676161402975,-10.1897246977871,-2.29480024648843,6,1
-25.2292642944329,-15.5038298337918,-6.8272845013779,6,1
-11.6623847232295,-19.9085651983472,4.0464263640355,6,1
-23.3546413027503,-17.6233352000559,0.911808563427288,6,1
-31.2264887348853,-7.57504098053283,-2.56183579067923,6,1
-34.4673992558225,3.31374363627234,-5.68116829637618,6,1
-49.3003512419716,10.8117851879292,-4.33193764420326,6,1
-51.8727941495181,15.7276793338962,-20.9120154263427,6,1
-43.7752857715023,10.8450143849131,-11.6144598903147,6,1
-36.1978713100263,5.88509458392717,-5.25346408509417,6,1
-47.5555213409918,9.94086996881295,-4.64451419595795,6,1
-51.73605002458,11.3084097798704,-5.93121942896207,6,1
-35.3917000346019,6.7245342277808,-4.10265388843212,6,1
-47.896889714727,7.35230134400328,-1.98135543647922,6,1
-46.5229319637318,9.91322045442356,-14.7283699656065,6,1
-28.4623504568251,6.2237278614337,-1.49147853977428,6,1
-36.4868116900449,6.46589737561634,-4.90163142613236,6,1
-35.664717336826,0.52880515415483,-2.85632673833944,6,1
-33.2413178076841,-12.8230096686348,-11.1510378355026,6,1
-8.66647846730933,-11.8739209106889,-3.68032568633163,6,1
-46.4408878627044,1.48536810196349,-8.05700927204184,7,1
-38.0272917542348,6.28449662885638,-0.488575177676399,7,1
-40.84751371385,4.73779769807701,-4.18652708968808,7,1
-20.9615791806007,-2.19984359308295,-15.1031288152473,7,1
-25.3202380535742,-7.3763649730866,-3.3250540825036,7,1
-24.1013895750705,-4.38715167325308,-19.8568365244388,7,1
-58.674287661247,-0.564627386938809,-2.32820109264312,7,1
-21.8052495853986,0.149267090933033,-14.0662926396278,7,1
-33.2185383526905,2.73009130418072,-21.2216331459849,7,1
-31.7438552332433,5.4001945727494,-2.81189722615509,7,1
-33.7378981446461,7.98767597814013,-24.6624603385992,7,1
-45.2248167113746,12.9404447752192,-6.15202553659486,7,1
-27.2874472811639,17.3092077737089,-20.236168211868,7,1
-45.1037550944652,16.8546762970884,-21.6390642706835,7,1
-60.0607156639658,16.4187246627263,-25.4505476854882,7,1
-39.8349954625421,13.33033151134,-5.92914416699511,7,1
-43.9288042925357,4.28679410416197,-12.7094620029151,7,1
-22.5048478921871,0.27615908933192,-30.9957355732848,7,1
-36.5472837755038,2.86554885038494,-29.4009990815015,7,1
-39.8805377582765,6.53365412966833,-13.9150217061817,7,1
17.4279017547398,-12.1335811721871,1.88761096420429,8,1
-16.6424391486649,-17.9094386439772,10.6441540853561,8,1
-17.7069937081396,-21.0061783059211,6.87793363267664,8,1
-15.9438131215098,-21.1246548784472,-4.46218417770563,8,1
3.27669257230227,-19.0964822055271,-9.34544422123529,8,1
-5.03814830157042,-18.7065661004367,-9.23609739028699,8,1
-9.58280937539674,-20.7159623789031,-25.5787526941529,8,1
-12.626565619769,-22.1842919352397,-6.4409191145727,8,1
-11.0651454808333,-22.5804007970195,-8.22820326329209,8,1
-13.126652929627,-21.7193236356139,-12.4019124924827,8,1
-9.78881080385794,-19.6481998816017,-24.0382403236208,8,1
-25.0212545988372,-18.7408985818785,-10.2498861049662,8,1
-11.6816906817815,-18.3371055348333,-0.730648349032665,8,1
-11.6256625927501,-17.6318156315997,-6.82290513126742,8,1
-3.50553504948683,-18.5750547136582,-6.10799331462843,8,1
-8.70107280228889,-19.637287489755,-3.80381533849189,8,1
-7.29657952556043,-20.7154243888892,-11.4704881180047,8,1
9.00825423515789,-21.2968148362131,-7.46207344195589,8,1
-7.09650462066253,-17.0616972118146,-11.0709968774164,8,1
-17.9483054136891,-9.28924152592033,-4.78295308340843,8,1
-25.9204847592136,-10.4994852496511,-15.7648504796978,9,1
-24.1123480601468,-13.7066669367344,-38.0189523157865,9,1
-37.7143237991256,-13.4904890383637,-43.9082741240438,9,1
-17.1335633679651,-11.3863370939567,-30.8154624538273,9,1
-27.7076322594015,-6.65717305059476,-36.5296340746934,9,1
-35.1904886010351,-2.25702063286349,-43.9521581613851,9,1
-27.9872390655196,-0.65246338852827,-45.1077627642615,9,1
-24.5415071972706,0.651668811577482,-37.5511083596616,9,1
-35.958345165548,1.84279836043976,-45.1007500030897,9,1
-25.2666166508521,1.53093108676338,-33.90375003886,9,1
-29.7963875716,-0.261992937164769,-55.6743640125023,9,1
-19.6371084304424,-3.4437701482124,-17.3313164311038,9,1
-22.9008094609502,-8.58155386112372,-51.6051441426499,9,1
-7.3698139472065,-11.6802514448578,-38.3634952743122,9,1
-24.9632341972801,-10.8219519130371,-29.6129049731067,9,1
-24.7158451680042,-9.3104546789503,-38.8271546996662,9,1
-21.7971255339935,-6.1713320083447,-31.15231779934,9,1
-32.0572663052673,-1.81937579004624,-55.9811338856201,9,1
-38.6956157081567,-0.485440559229612,-33.4965057173819,9,1
-21.8031632002394,-2.18930123935779,-48.7182058249912,9,1
-26.1190198331842,-18.1506860359721,2.00073060480498,1,2
-6.54792381934327,-14.5785779714832,-12.1642978701917,1,2
-19.8737892705716,-11.1212841800191,5.1503375906232,1,2
-20.124373115207,-11.6096418000066,-13.6311992717193,1,2
8.09110618376163,-12.1040281733653,6.34086793379154,1,2
-12.557356361075,-7.50157568690343,-7.69260292690497,1,2
-26.5936169788745,-1.07855222585196,-7.66406392918176,1,2
-7.36310110260154,0.537567740964559,-13.8719484695026,1,2
-3.80389972454332,-10.3761658359653,10.6039544937403,1,2
21.6433598747331,-29.2402688810626,-4.96314494584781,1,2
-2.3859588812064,-40.904885924553,-3.75005735468323,1,2
-2.84955935600265,-42.0743544056029,-5.91657734072515,1,2
63.522234161182,-39.2168813884282,-5.187991965665,1,2
11.8934976606257,-35.3521018077656,-6.6226425195447,1,2
0.231573320923367,-33.9120025671055,3.69469383521727,1,2
4.95473613643862,-36.7068039583506,-12.0608899556704,1,2
12.9399405584244,-34.7770621656706,-0.105641769485302,1,2
-20.3714369571895,-23.6480834070095,168.758239904478,1,2
-33.5611757114906,-11.3490510319624,72.3435815162586,1,2
-10.239692771072,-3.64925580130043,-8.28974156437887,1,2
27.1832139270027,-63.5313926728305,10.678001518506,2,2
20.1116574659018,-55.8590563276749,0.800470972655909,2,2
17.6303875953989,-52.807858640382,-3.00446429159115,2,2
18.9862324602484,-55.4468463984821,9.13808295224409,2,2
33.0868138589446,-61.928105794101,6.91644611452928,2,2
38.4315729535904,-66.8767447073426,-0.791756409485858,2,2
26.9681552820795,-61.7011441953208,-3.15373352695312,2,2
18.1505754824749,-51.5308832694684,11.0045101828312,2,2
16.2524971975186,-45.9574109510371,13.5796266321426,2,2
12.710326493974,-45.0968573590409,-2.99630883795448,2,2
15.2159977112213,-46.2137291908964,-5.64281989758174,2,2
19.7894968605477,-48.6974478349296,4.15812489171724,2,2
19.3594955475548,-50.2169527831699,6.20053046951654,2,2
17.4377643254753,-47.3063584540386,-3.01676244965756,2,2
12.5404949958046,-42.2590328091578,-4.19092800285385,2,2
2.6826220304611,-39.5581986170557,10.0860035110463,2,2
10.2975829801109,-36.9149681381882,-4.58129202716924,2,2
13.8424409160057,-42.1410100333873,4.72582985278272,2,2
19.0135744844577,-53.5231556307897,-4.27837504209065,2,2
21.6084693335931,-47.2682208175612,14.239808952792,2,2
-11.7044094793558,-25.9121274393826,-0.0469396641814801,3,2
-17.4422702116916,-9.70589895169754,-1.79743517097446,3,2
-62.0601526838633,23.2867194313426,-0.411724438506411,3,2
-35.8519580820252,13.6004611738208,-2.2735095154221,3,2
-6.54695387908269,-23.3422657770601,0.333585355502252,3,2
-6.25130453726663,-44.2237968711607,-1.58879437133659,3,2
46.4747530422283,-54.9477450318316,1.42994352992084,3,2
-0.60740263626667,-42.9002511551199,2.28536807029682,3,2
7.64394765417942,-36.3450277907339,2.31431034471144,3,2
37.8446061196428,-60.6628814984465,0.673507347674195,3,2
24.1544892471388,-57.8667960126746,-2.06956573465245,3,2
-16.4134958077678,-11.6136041385657,-8.81014098016711,3,2
-92.3626292740275,60.886870682306,0.724341520705453,3,2
-169.845982803487,130.011086549567,-4.95612214741315,3,2
-171.702627581631,139.006517775864,-4.45529463276824,3,2
-104.90145703808,74.901047468472,-4.15141727889758,3,2
-40.9909797537038,2.73297893640904,-4.36270602354321,3,2
11.5817380810942,-28.2302029127598,0.939896896526797,3,2
-24.9468841356902,-23.0851731531781,-1.17496304294942,3,2
-33.8784877511045,4.25333020304444,-1.47525085450641,3,2
-3.11799165460402,-18.4028254591082,2.04823241231763,4,2
-21.6334169110002,-17.1392081625246,-0.746509818828912,4,2
0.170642813439361,-19.8765733458431,3.36115011121253,4,2
-6.49676766157136,-22.3962095598529,-1.0039889291132,4,2
-18.2855813433073,-19.3078459506541,-4.52732826447938,4,2
-6.05115507673121,-14.9588199030594,0.747194479387692,4,2
11.3815994047913,-12.8230608116003,5.92994417143127,4,2
-15.0409138833208,-12.5728149780244,2.91514468483835,4,2
-7.02101764370377,-16.1113821791235,-0.579488540222546,4,2
-10.6194078789542,-20.2533925286238,2.60668318973954,4,2
